date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:36	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226717d337-239b%22	https://buli1887live.github.io/robots.txt		(from )
08:06:36	67927/67927	---M-Z	200	added ('OK')	text/html	etag:W/%22671e7d42-10957%22	https://buli1887live.github.io/Bussgeldrechner/	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/index.html	(from )
08:06:36	17411/17411	---M-Z	200	added ('OK')	application/javascript	etag:W/%22671e7d42-4403%22	https://buli1887live.github.io/Bussgeldrechner/index.js	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/index.js	(from https://buli1887live.github.io/Bussgeldrechner/)
08:06:36	2308/2308	---M-Z	200	added ('OK')	text/css	etag:W/%22671e7d42-904%22	https://buli1887live.github.io/Bussgeldrechner/fonts.css	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/fonts.css	(from https://buli1887live.github.io/Bussgeldrechner/)
08:06:36	15101/15101	---M-Z	200	added ('OK')	text/css	etag:W/%22671e7d42-3afd%22	https://buli1887live.github.io/Bussgeldrechner/style.css	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/style.css	(from https://buli1887live.github.io/Bussgeldrechner/)
08:06:36	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://buli1887live.github.io/Bussgeldrechner/style_sahp_overwrite.css	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/style_sahp_overwrite.css	(from https://buli1887live.github.io/Bussgeldrechner/)
08:06:37	813742/813742	---MCZ	200	added ('OK')	text/css	etag:W/%2222658119e8f100ab722c2bc561d0a019%22	https://kit-pro.fontawesome.com/releases/v6.2.1/css/pro.min.css	C:/Users/Carnifexe/Desktop/Busgeldrechner/kit-pro.fontawesome.com/releases/v6.2.1/css/pro.min.css	(from https://buli1887live.github.io/Bussgeldrechner/)
08:06:37	1320790/1320790	---M--	200	added ('OK')	image/png	etag:%22671e7d42-142756%22	https://buli1887live.github.io/Bussgeldrechner/DOJ_logo.png	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/DOJ_logo.png	(from https://buli1887live.github.io/Bussgeldrechner/)
08:06:37	1594/1594	---M-Z	200	added ('OK')	text/css	etag:W/%22671e7d42-63a%22	https://buli1887live.github.io/Bussgeldrechner/notifications.css	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/notifications.css	(from https://buli1887live.github.io/Bussgeldrechner/)
08:06:37	1557/1557	---M-Z	200	added ('OK')	application/javascript	etag:W/%22671e7d42-615%22	https://buli1887live.github.io/Bussgeldrechner/notifications.js	C:/Users/Carnifexe/Desktop/Busgeldrechner/buli1887live.github.io/Bussgeldrechner/notifications.js	(from https://buli1887live.github.io/Bussgeldrechner/)
